id;PartitionKey;RequestCharge;requestSizeInBytes;requestBodySizeInBytes;responseMetadataSizeInBytes;responseBodySizeInBytes;
1f2e8ea9-eb35-488c-9357-5276e2a7b160;8939;185.52;305516;305099;127;174;
829f8057-16a4-48bd-b336-3f70010760dc;8940;185.52;305448;305031;127;174;
0a5c968f-7e16-4728-9891-7d4fad2a2259;8941;185.52;305465;305048;127;174;
dab97447-d189-42c9-8515-c897afa4b493;8942;185.52;305515;305098;127;174;
a6ac20aa-8598-4996-8d9d-a21299a82fc9;8943;185.52;305494;305077;127;174;
1f10640c-cf38-405d-9f00-1d6c8317d727;8944;185.52;305514;305099;127;174;
8b008378-0039-4629-926d-86cdbfebddad;8945;185.52;305422;305007;127;174;
20efd252-a01c-46e2-848e-1df3001d4a9d;8946;185.52;305484;305069;448;305264;
3b36c346-4023-4e23-bec0-4f29d074d9e1;8947;185.52;305482;305067;127;174;
8605fe2d-33f6-4157-adaf-e3a6b8d5ec72;8948;185.52;305497;305082;127;174;
1f231eb6-b35b-4059-99f2-5a54d48416b2;8949;185.52;305498;305083;127;174;
0e4874d0-920a-4810-a1f7-ccdba2681dc8;8950;185.52;305565;305150;127;174;
3f5ef183-bed8-4a0c-9aa8-361b15f87986;8951;185.52;305686;305271;127;174;
1fa2b82d-f949-482d-9f9d-409a2e4bb731;8952;185.52;305801;305386;448;305581;
811b3bea-238e-4672-9262-8d31ce19a8c7;8953;185.52;305767;305352;127;174;
d112ddef-17e4-425f-834e-efccb59a100a;8954;185.52;305785;305368;127;174;
52002d0d-de3d-45d8-9e3b-9ce153e627ed;8955;185.52;305812;305395;127;174;
b219304c-4e08-4798-b71b-dfcb4ef5d793;8956;185.52;305868;305451;127;174;
cd655e68-41ce-45fd-8b52-fb7c1dd6b10f;8957;185.52;305931;305514;127;174;
52a4f2fe-4065-4bef-b1d1-9a4204d62b69;8958;185.52;305903;305486;127;174;
40da920f-8879-4928-a940-03d9f15c7f17;8959;185.52;305950;305533;127;174;
370018b9-c2c6-41d3-ad11-4c5746f3a5eb;8960;185.52;306022;305605;127;174;
96224499-d7fa-4298-ae75-6e6fe81d85b5;8961;185.52;306116;305699;127;174;
9762af41-f661-4a7e-bcd4-52c358e83da9;8962;185.52;306156;305737;127;174;
0abd42ac-95c8-40bd-8557-8fe9979aeb4f;8963;185.52;306164;305745;127;174;
97f74cb0-883b-4221-aeb5-a0806b77fcbe;8964;185.52;306136;305721;127;174;
02163354-e7ec-447d-b033-e2c6dc59a868;8965;185.52;306102;305687;127;174;
e4d2fcb5-5679-44b9-9c55-150747ef3a23;8966;185.52;306156;305741;127;174;
df0452d1-551e-4513-b062-91413dc3083d;8967;185.52;306129;305714;127;174;
04c6120c-454d-45e9-977d-7eb212be58c8;8968;185.52;306105;305690;127;174;
865070d1-dc53-4851-9c9d-6e26f8bfb0ec;8969;185.52;306182;305767;127;174;
79c49255-fe3f-4912-b87a-98d98a39a021;8970;185.52;306192;305777;127;174;
9f059af9-ab7b-46a8-b2d3-8aa5aa8749b2;8971;185.52;306150;305735;127;174;
af356683-d9b3-4568-8abc-86997680fc53;8972;185.52;306198;305783;127;174;
8169973d-f214-4313-be37-7216f3c03a61;8973;185.52;306188;305773;127;174;
d079d1b1-067b-4384-90ff-766e960732d5;8974;185.52;306217;305804;127;174;
a74780da-bc54-4a13-88ec-57a98af32551;8975;185.52;306313;305900;127;174;
1b38d2bb-1f1f-44fb-ae48-480ceef63d80;8976;185.52;306452;306039;127;174;
